smiles,logP,qed,SAS
CS[C@@H]1CC[C@H](NC(=O)CCc2c(C)nn(CC(C)C)c2C)C1,3.4888,0.8099,3.3502
Fc1ccc(-n2ccc(CSc3nccs3)n2)cc1,3.7602,0.6656,2.3759
CCc1ccc(OCC(=O)/N=C2/N=N[C@@H](c3ccco3)S2)cc1,4.0012,0.8011,3.505
Cc1nc(-c2noc(-c3ccc(C(F)(F)F)cc3)n2)cs1,4.1873,0.684,2.2764
Cc1c(NC(=O)[C@H](C)Oc2ccccc2)cccc1[N+](=O)[O-],3.3092,0.6662,2.2159
CCOC(=O)C(=O)Nc1cc(C)nn1-c1nc([O-])c2c(n1)CCC2,0.0346,0.6397,3.0659
COc1ccc(NC(=O)c2ccccc2NC(=O)/C(C)=C/c2ccccc2)cc1,4.9895,0.5621,1.902
Cc1ccc(/N=C\c2ccc[nH]2)c(O)c1,2.7793,0.7151,2.7513
O=C(OCc1cn(-c2ccc(Cl)cc2)nn1)c1ccc(Cl)cc1,3.9311,0.648,1.9703
CNC(=O)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,1.4234,0.7445,2.2336
CSc1ccc(C[NH+]2C[C@@H]3CC[C@H](C2)N(Cc2ccccn2)C3=O)cc1,2.0094,0.8248,4.9237
COCC1CCN(C(=O)[C@H]2Cc3[nH+]c[nH]c3CN2)CC1,-0.2719,0.8273,4.1929
C[NH2+][C@@H](C)c1cnc([C@H]2CN3CCC[C@@H]3CO2)s1,0.933,0.8998,4.6943
CCCNC(=O)[C@H]1C[C@H]2CCC[NH+]2[C@]12C(=O)N(C)c1ccccc12,0.4517,0.8642,5.1003
C[C@@]1(C[NH2+]CCc2ccsc2)CCCO1,1.4231,0.7629,4.3821
O=C(Nc1ccc(N2CCC([NH2+]C[C@H]3COc4ccccc4O3)CC2)cc1)C1CCCC1,3.1875,0.7193,3.3919
Cc1cc(Cn2c(=S)[nH]c3cc(F)ccc32)cc(C)c1F,4.6422,0.6536,2.4111
CCN(CCc1nc2ccc(F)cc2[nH]1)C(=O)[C@@H]([NH3+])c1c(C)n[nH]c1C,1.4161,0.626,3.6082
Cc1ccc(CCCC(=O)NCCn2cnnc2C)s1,2.0955,0.8533,2.6247
COc1ccc([C@@H](CO)N(C)C(=O)Nc2cnc(-c3ccccc3)s2)cc1,4.016,0.6502,2.8997
C[NH+](C)C(C)(C)CNC(=O)NC[C@H](c1ccccc1)[NH+]1CCCC1,-0.3713,0.5601,4.7064
Cc1ccc(C(=O)NC2COC2)cc1O,0.8292,0.7668,2.0575
O=C(NC[C@@H]1CCCO1)c1cc(Br)c2c(c1)OCCO2,2.1291,0.9178,2.7422
CC(C)(C)c1ccc(=O)n(CC(=O)Nc2sc3c(c2C(N)=O)CCC3)n1,1.8286,0.8568,2.4924
Cc1cc(C(=O)[O-])c(C)n1[C@@H]1C[NH+]2CCC1CC2,-0.682,0.7864,5.633
CC(C)OCCS(=O)(=O)NCc1ccco1,1.124,0.7939,2.3786
CCc1nn2c(c1-c1ccc(OC)c(OC)c1)NC(=O)[C@@H]2CC(=O)Nc1cccc(Cl)c1Cl,4.9585,0.4688,3.2125
C[C@H](CO)NC(=O)N[C@H](Cc1ccccc1)C1CC1,1.6877,0.7362,2.8213
CC(C)NC(=O)Cn1c(CCNC(=O)C2CC2)nc2ccccc21,1.6296,0.8179,2.0437
C[C@H]1CCC[C@H](C)C1NC(=O)CCNC(=O)c1ccco1,2.3404,0.8757,3.0418
OCC(CO)Nc1ncc(Cl)cc1F,0.6392,0.7096,2.5568
CC(C)c1nc(C(=O)N2CCCCC2)n[nH]1,1.5542,0.8331,2.5075
CC(C)(C)n1cnnc1SCC(=O)NCc1ccc(Cl)s1,3.1565,0.8345,2.7312
Cc1csc([C@@H](NC(=O)Cc2ccc(C)c(O)c2)C2CC2)n1,3.2755,0.8747,2.8885
O=C(NCc1nnc2n1CC[NH+](Cc1cccs1)CC2)c1ccccn1,0.3058,0.6942,3.9011
Cc1cnc2c(c1SCc1ccc(C(F)(F)F)cc1)c(=O)n(C)c(=O)n2C,3.2517,0.6288,2.5254
CCc1nn(C)c(OC)c1CNC(=O)N1CC[C@H](CC)C1,1.9326,0.9077,3.0632
O=C(CN1CCN(c2ncccn2)CC1)N1CCc2ccccc21,1.1879,0.8596,2.1077
CCS(=O)(=O)N[C@H]1C=C[C@@H](C(=O)[O-])C1,-1.3797,0.623,4.5035
CCOc1ccc([C@@H]2CCCN2S(=O)(=O)c2ccccc2C#N)cc1,3.4828,0.8041,2.5425
C[C@H]1CCC[C@@H]1[NH2+]C[C@@H](c1ccco1)N1CCCCC1,2.5586,0.8952,4.2064
CC1(C)CCC[C@H]1NC(=O)Nc1ccc(C(=O)NC2CCOCC2)cc1,3.2956,0.7583,2.7989
CC(C)Cn1cnnc1[C@@H]1CCCN1C(=O)CCOC1CCOCC1,2.1833,0.7561,3.2174
O=C(NCc1ccc(OC(F)(F)F)cc1)NCc1ccco1,3.1776,0.8779,2.0088
CC(C)c1cc(C(=O)NCC[C@H](O)c2ccccc2)nn1C(C)(C)C,3.615,0.8202,2.8478
O=C(Nc1ccccc1C(=O)NCCc1nnc2ccccn12)c1cccs1,3.0156,0.5232,2.2059
CCc1ccc(NC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)cc1,4.1672,0.7501,2.0721
Cc1ccc(NC(=O)C[C@H]2Sc3nnc(C)n3NC2=O)cc1,1.4681,0.9035,3.0352
Cc1cc(NC(=O)[C@H]2CCOc3ccccc32)c2ncccc2c1,4.048,0.7471,2.6824
C[C@H]1CN(C(=O)C2CCN(C(=O)c3ccc4cc[nH]c4c3)CC2)C[C@H](C)O1,2.6559,0.8818,3.0619
CC[C@H](C(=O)Nc1cc(C)nn1-c1nc([O-])c2cnn(-c3ccc(C)cc3)c2n1)c1ccccc1,3.8239,0.3943,3.3058
C[C@H](Sc1nnc(-c2ccc(Cl)cc2)n1C[C@H]1CCCO1)C(=O)Nc1ccc2c(c1)OCO2,4.6255,0.4655,3.0827
CC(=O)c1ccc(NC(=O)[C@H](C)Oc2ccc(C#N)cc2)cc1C,3.4753,0.8361,2.4016
C[NH2+][C@H]1[C@H](Oc2ccccc2C)CCCC1(C)C,2.5143,0.8724,3.8458
Cc1ccc(C(=O)N(C)C)cc1NC(=O)N1CCC[C@H](C)CC1,3.3507,0.8922,2.3832
C[C@@H](Sc1nnc(C2CC2)n1Cc1ccccc1)C(=O)c1c[nH]c2ccccc12,5.0486,0.3329,2.7045
Cc1occc1C(=O)NCC(=O)NC[C@H]1C[C@]12CCc1ccccc12,2.3381,0.8799,3.7367
C[C@H](NC(=O)c1ccc(-c2cncnc2)nc1)c1ccccc1,3.0296,0.7954,2.4496
O=C1c2oc3ccccc3c(=O)c2[C@@H](c2cccc(O)c2)N1[C@@H]1CCS(=O)(=O)C1,2.2309,0.6952,3.2968
COc1ccc([C@@H]2C3=C(CC(C)(C)CC3=O)NC3=C2C(=O)c2ccccc23)cc1OC,4.6414,0.7561,2.9891
CCc1cnc(C[NH+](C)Cc2c(Cl)nc3sccn23)s1,2.283,0.7814,4.3639
O=C(/C=C/c1cnn(-c2ccccc2)c1)Nc1ccccc1,3.5242,0.7296,1.9004
C[C@H](CNC(=O)N[C@@H]1CCc2c(Br)cccc21)N1CCOCC1,2.4563,0.841,3.1705
Cc1ccsc1C(=O)OCC(=O)NC(C)C,1.7379,0.823,2.0249
O=C(Nc1cccc([N+](=O)[O-])c1)c1ccn(-c2ccc(F)cc2)n1,3.1719,0.5804,1.989
CCCNC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1C,3.3979,0.7984,2.075
COc1cccc(/C=C(/C(=O)OC2CCCCC2)n2nnnc2C)c1,2.8641,0.6093,2.6297
Cc1cccc(OC(=O)/C=C\c2ccc(C(=O)NC3CC3)cc2)c1,3.506,0.509,1.9193
Cc1ccc(/C=C/C(=O)Oc2ccc3c(c2)OC(N)=C(C#N)[C@@H]3c2cccs2)cc1,4.8935,0.357,3.0388
CC1CCC([NH+](C)[C@H](C)[C@@H](C)S(C)(=O)=O)CC1,0.9014,0.8298,4.8173
O=C(C[C@@]1(O)C(=O)Nc2cc(Cl)cc(Cl)c21)c1ccc(Cl)cc1,4.0595,0.7714,2.8717
CCOC(=O)C1(C)CCN(Cc2nc3c(F)cccc3[nH]2)CC1,2.8672,0.8738,2.5286
Cc1c(C[NH2+][C@H]2CCCOC2)cnn1C,-0.0291,0.7835,4.3077
COC[C@@](C)(NC(=O)NCc1ccc(C(N)=O)o1)c1ccccc1,1.7395,0.7236,2.9835
Cc1ccc([C@H](C)N(C)C(=O)c2cnc(Cl)c(Cl)c2)cc1,4.53,0.7435,2.5374
NC(=S)Nc1ccc(/N=C/c2cc([N+](=O)[O-])cc(Br)c2[O-])cc1,2.837,0.354,3.0536
O=S(=O)(c1c[nH]c2ncccc12)N1CCN([C@@H]2CCCC[C@H]2O)CC1,1.1727,0.8641,3.1953
COc1ccc2ccccc2c1CN1CC[NH+](C[C@@H]2CCOC2)CC1,1.5854,0.9024,3.7429
COc1ccc(C(=O)NCC2(c3ccc(F)cc3F)CC2)nn1,2.225,0.9201,2.4725
CC(C)COc1ccc(NC(=O)C(=O)N[C@@H]2CC=CCC2)cc1Cl,3.5382,0.6153,2.8102
Nc1nc(CN2CCN(c3ccccc3C(F)(F)F)CC2)nc(NCc2ccc(Cl)cc2)n1,4.0603,0.5333,2.406
CCc1nc(C(=O)Nc2cccc(C)n2)n[nH]1,1.3228,0.8434,2.5131
C[C@H](C[NH+]1CCCCC1)NC(=O)N(C)C1CCCCC1,1.4178,0.8121,4.1351
CCCN(C(=O)CC(C)(C)C)C1CCC([NH3+])CC1,2.2143,0.8247,3.1905
CC(C)[C@H](C)NC(=O)N(C)CCOc1ccccc1F,2.8904,0.8643,2.5329
CC[NH+](CC)CCn1cc(N[C@@H]2CC[C@H]([NH3+])C2)cn1,-0.6173,0.6426,5.1032
Cc1cc(CN(C)[C@H](C)Cc2ccsc2)ccc1-n1cncn1,3.7002,0.6732,2.964
O=C(Cc1ccccc1Br)C1([NH+]2CCCCC2)CCCC1,2.9423,0.877,3.7442
COc1cccc2cc(C(=O)NC[C@H]([C@@H]3CCOC3)N3CCOCC3)oc12,1.9085,0.8378,3.2811
Cn1c(CCNc2nc3nonc3nc2N2CCSCC2)nc2ccccc21,2.1073,0.5458,2.92
CC(C)[C@H]1CN(c2ccnc(N)n2)CCC(=O)N1CC1CC1,1.5321,0.9213,3.1739
CSc1ccccc1/N=C/[C@@H]1C(=O)NC(=O)N(c2ccc(F)cc2)C1=O,3.1491,0.5017,3.0829
COc1ccc([C@H]2CCN(C(=O)NC[C@H](C)C[NH+]3CCN(C)CC3)C2)cc1,0.6605,0.7819,4.0169
Cc1ccc([C@H]2[C@@H]3C(=O)C[C@@H](c4ccccc4)CC3=Nc3ncnn32)cc1,4.0249,0.6716,3.4938
O=C1C2CN3CCN(C2)CC1(c1ccccc1)C3,0.7545,0.7382,3.9159
COCc1nc(C(=O)Nc2ccc(NC(C)=O)cc2Cl)cs1,3.1536,0.8644,2.0998
CN(Cc1ccccc1)C(=O)CNC(=O)COc1ccccc1,1.8402,0.8542,1.6832
CCn1nc(C)c(NC(=O)C(=O)N2CCC[C@H](Nc3ccccc3)C2)c1C,2.5614,0.8104,2.7784
C[C@H]1CCN(C(=O)c2scnc2C2CC2)[C@H]1c1cccc(F)c1,4.3829,0.8009,3.4957
C[C@H]1CN(C)CCN1C(=O)c1coc(Br)c1,1.8182,0.7957,3.1025
O=C(NCC1CCOCC1)c1cc(-c2cccnc2)c2cnccc2n1,2.8482,0.7787,2.481
CCOCCn1/c(=N/C(=O)[C@H]2CCCN2S(C)(=O)=O)sc2ccccc21,1.5906,0.6996,3.0155
C/C=C/C=C/C(=O)N1CCN(S(=O)(=O)c2ccccc2[N+](=O)[O-])CC1,1.56,0.3442,2.476
CCCN(C(C)C)[C@H](C[NH3+])CC(N)=O,-0.4073,0.6109,3.8758
Cc1n[nH]c(-c2ccc(NC(=O)C(=O)NC[C@H]3CC[NH+](C)C3)cc2)n1,-0.6306,0.5785,4.1707
Cc1ccc(S(=O)(=O)[C@@H](C#N)c2nc3ccccc3nc2N2CCN(c3ccccc3)CC2)cc1C,4.6118,0.38,2.9733
COc1ccc(C(=O)N[C@@]2(C(F)(F)F)N=C3SCCN3C2=O)cc1,1.6286,0.8982,3.1783
C1=c2ccccc2=[NH+][C@@H]1[C@H]1Nn2c(CCc3ccccc3)nnc2S1,-0.3983,0.6989,4.315
C=CCOc1ccc(C(=O)N(C)CC(=O)N(C)C)cc1,1.4116,0.7459,2.0546
COc1cccc(CCNc2ncnc3c2oc2ccccc23)c1,4.0392,0.5796,2.1476
CC1CCN(C(=O)[C@H](C)OC(=O)c2cccc(CN3C(=O)c4ccccc4C3=O)c2)CC1,3.2866,0.5236,2.6122
Cc1n[nH]c2ncc(NC(=O)NC[C@@H](O)COc3ccc(F)cc3)cc12,1.9668,0.5405,2.872
C[C@@](N)(C(=O)NCCC(=O)N1CCCC1)C(F)(F)F,0.3948,0.7997,2.9653
O=C(/C=C/c1ccccc1[N+](=O)[O-])Nc1cccc(Oc2ccncc2)c1,4.434,0.3809,2.1538
CSCC(=O)NNC(=O)N[C@@H]1C[C@H]1c1ccccc1,1.2359,0.7348,2.9955
COCCNC(=O)N1CCC(c2nnc(C(=O)Nc3ccc4c(c3)OCO4)s2)CC1,2.0545,0.6732,2.5237
C[C@H]([NH2+]Cc1ccc(-n2cccn2)cc1)C(N)=O,-0.1905,0.7906,3.5981
CCCO[C@@H]1CCCN(C(=O)Cc2ccccc2F)CC1,3.1759,0.8223,2.4216
O=C(Nc1nc2ccccc2s1)N1CCC[C@H](C(F)(F)F)C1,4.1025,0.8237,2.6665
COC(=O)N1CC[C@H]([NH2+][C@@H](C)c2ccc(OC3CCOCC3)cc2)C1,1.7095,0.8858,3.8914
CCN(CC)C(=O)CSc1nc(-c2ccc(C)cc2)cs1,4.079,0.7241,2.1004
CN(Cc1[nH+]ccn1C)C[C@H]1CCC(C)(C)[C@@H]1[NH3+],0.3177,0.843,5.3984
CC[C@H](NC(=O)N[C@@H]1CCC[C@H]([S@@](=O)CC)C1)c1nccs1,2.9732,0.8258,4.03
C[C@@H]1CCO[C@H]1C(=O)Nc1nc2c(cc1C#N)CCC2,1.8055,0.8959,3.6023
CC[C@@H](NC(=O)CSc1nnnn1C)c1cc(F)ccc1F,1.8479,0.8253,2.7853
CN(C)c1ccc(NS(=O)(=O)c2cccc(N)c2)cc1,2.1356,0.8493,1.8547
N#Cc1c(F)cccc1N(CC1CC[NH2+]CC1)C1CC1,1.6396,0.9145,3.6652
C[C@@H](Oc1ccccc1[N+](=O)[O-])C(=O)N1CCC[C@@H](C(=O)NN)C1,0.5906,0.3571,2.9713
Cc1ccc2c(c1)C(=O)C(=O)N2CN1CCc2sccc2[C@@H]1c1ccccc1,4.191,0.607,2.8475
CCSCC[C@H](C)Nc1ncc(C)cc1[N+](=O)[O-],3.2418,0.4599,3.0955
COc1ccccc1C(=O)N1CCC(c2nnc(C(=O)Nc3cccc(Cl)c3)s2)CC1,4.4722,0.5852,2.2585
CCc1c(C)[nH]c(-n2nc(C)cc2NC(=O)/C=C/c2ccc([N+](=O)[O-])cc2)nc1=O,2.6949,0.364,2.6551
C[C@@H](NC(=O)Nc1ccc(-c2ccccc2)cc1)c1nc[nH]n1,3.3544,0.678,2.8046
Cc1noc(C)c1COc1ccccc1C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,3.2923,0.4847,2.2786
CC(=O)Nc1ccc(S(=O)(=O)[O-])c(OC(C)=O)c1,0.4744,0.496,2.5364
Cn1nc(CC(=O)N2CCC[C@@H]2c2ccc3c(c2)OCCO3)c2ccccc2c1=O,2.6109,0.6678,2.8488
COc1cc(C)c(NC(=O)CCC2=NC(=O)C3=C4CCC[C@@H]4SC3=N2)cc1OC,3.664,0.7481,3.6008
CC[C@@H]1CCCC[C@@H]1NC(=O)N1CCCN(C(=O)c2ccc(F)cc2)CC1,3.652,0.8535,2.827
CCOC(=O)N[C@H](C)C(=O)[O-],-1.1291,0.5963,3.1987
O=C1COc2ccccc2N1CCC(=O)N(Cc1ccc(F)cc1)C1CC1,3.1324,0.7767,2.2036
Cc1sc2ncnc(NC[C@H]3CCCN(c4ncccn4)C3)c2c1C,3.4266,0.7583,2.9539
C[C@H](NC[C@H](c1ccccc1Cl)N1CCOCC1)c1ccc(F)cn1,3.5982,0.8292,3.1002
O=C(NCCOc1ccccc1F)C(=O)N1CCCC1,0.9431,0.6692,1.9541
CCOc1ccccc1C(=O)NC[C@H](c1ccc(F)cc1)N1CCOCC1,3.0277,0.8029,2.4249
CCC[NH2+][C@H]1[C@H]([NH+](C)C)CCCC1(C)C,0.0516,0.6783,5.7698
CCONC(=O)c1cc(-c2cc(C)oc2C)nc2c1cnn2C(C)C,3.5703,0.6994,2.7219
CC(C)(C)N(CC(=O)[O-])C(=O)NCCc1c[nH+]c[nH]1,-1.0687,0.7474,4.285
CS(=O)(=O)NCCOC(=O)c1c(F)cccc1F,0.6708,0.6463,2.0968
CN(C)c1ccccc1N(C)S(=O)(=O)CCC1CC1,2.3187,0.8049,2.4987
CC(C)Sc1ccc([C@@H](C)[NH2+][C@@H](CO)c2cc(F)c(F)c(F)c2)cc1,3.9624,0.5521,3.9947
C[C@H]([NH2+][C@@H](C)CCCO)c1ccc(F)cc1Cl,2.2645,0.8107,3.9971
COc1cccc([C@H]2C[NH+]=C(N)N2c2ccc(Br)cc2)c1,1.4143,0.8922,3.36
Cc1ccc(S(=O)(=O)c2cc3c(=O)n4cccc(C)c4nc3[n+](CCC[NH+](C)C)c2N)cc1,0.7016,0.3267,3.5722
CCOC(=O)CN(CC1CC1)C(=O)[C@@H]1SCCc2sccc21,2.8802,0.742,3.3891
COc1ccc(Nc2nc(-c3ccc(CNC(C)=O)s3)c(C)s2)cc1F,4.7074,0.6106,2.4315
Cc1cccc(C(=O)N[C@H](C(=O)Nc2cccc(S(=O)(=O)N3CCCC3)c2)C(C)C)c1,3.1726,0.6773,2.457
Cc1noc(CNC(=O)N[C@@H]2CCO[C@H]2c2ccc(Cl)cc2)n1,2.3608,0.895,3.2543
CSC[C@@H](C)NC(=O)N1CCC[C@H](NC(=O)C(C)C)C1,1.6841,0.8186,3.1643
CC(C)N(C)C(=O)CC1(CS(C)(=O)=O)CC1,1.0681,0.7397,2.8806
CC(C)CCNC(=O)[C@@H](C)[S@](=O)Cc1nc2ccccc2s1,3.0958,0.8332,3.2639
O=c1c(C[NH+]2CCC[C@@H]2CO)coc2ccc(Cl)cc12,0.986,0.9001,4.4614
CC1(C)CCC([C@@H]([NH3+])c2cscc2Br)CC1,4.01,0.8244,4.208
O=C(N[C@@H](CCO)c1cccs1)c1c(O)cc(Cl)cc1Cl,3.614,0.7548,2.9308
COc1ccc(-c2c(=O)n(OC)c3ccccc3[n+]2[O-])cc1,1.3689,0.5466,2.5526
Cc1cc(C)c(C(=O)N2CCC3(CC2)OCCCO3)c(C)c1,2.9811,0.7924,2.8663
C[C@@H]1CCc2c(F)cccc2[C@H]1NC(=O)CCOc1cccc(C(N)=O)c1,3.1333,0.8087,3.1187
CC[C@@H]1C[C@@H](C)CC[C@@H]1[NH2+][C@@H]1CCCn2nc(C(C)C)nc21,3.0146,0.9193,4.8724
Cc1ccc(-n2c(=O)[nH]c3c(C(=O)Nc4cccc(Br)c4)cn(C)c3c2=O)cc1,3.3407,0.4898,2.387
CC(=O)c1ccc(NC(=O)[C@H]2CNC(=O)C2)cc1C,1.2722,0.8129,2.6765
COC(=O)c1c(C)nsc1NC(=O)N1C[C@@H](C)O[C@H](c2ccccc2)C1,3.232,0.8202,3.2401
O=C(NCCC(=O)N1CCOC[C@@H]1C1CC1)C1CCCCC1,1.7104,0.8476,2.7685
CCOCCCNC(=O)Nc1ccc2c(c1)CCO2,2.1696,0.7766,2.0342
CCOC(=O)[C@@H]1CCCN(C(=O)C[NH+](C)Cc2cc(Cl)ccc2F)C1,1.2955,0.7755,3.7737
COc1cccc(C[NH+]2CC[C@H](Nc3ccccc3)C2)c1O,1.6701,0.7933,3.8749
C[C@@H](CNC(=O)c1ccccc1F)N1CCc2ccccc21,3.0067,0.931,2.4333
CCN[C@]1(C(N)=O)CCC[C@H]([NH+](CC)C2CC2)C1,-0.1702,0.6361,5.0294
CCOc1ccc(-c2nnc(NC(=O)c3ccn(C)n3)o2)cc1OCC,2.5198,0.6915,2.3492
CCOC(=O)C1CCN(C(=O)c2ccccc2[N-]S(=O)(=O)c2ccccc2)CC1,3.496,0.6581,2.7879
COc1ccc(-c2cc(COC(=O)C[C@H]3CSc4ncc(C)c(=O)n43)no2)cc1,2.9956,0.4448,3.1755
O=C(Cc1ccc[nH]1)NCc1cccc2cccnc12,2.4218,0.7608,2.2787
Cc1nsc(N(C)C(=O)Nc2cccc(Cl)c2)c1C(=O)[O-],2.1367,0.9403,2.9846
Cc1nnc(CCC[NH+](C[C@H]2C[C@@H]2C)C(C)C)o1,1.2599,0.8036,4.7814
Cc1cc2c(NC[C@@H](O)C3CCOCC3)ncnc2s1,2.1991,0.907,3.154
O=C(c1ccccc1Oc1ccccc1)N1CCN(S(=O)(=O)c2cccs2)CC1,3.6871,0.6047,2.0347
C[C@@H]1CCN(C(=O)c2cc3cc(F)ccc3o2)C[C@H]1O,2.4148,0.8707,3.0338
C[C@@H]1CCCC[NH+]1CC(=O)NCCOc1ccc(F)cc1,0.778,0.7743,3.8808
[NH3+]CC#Cc1cc(F)cc(Cn2ccnc2)c1,0.6639,0.7705,3.2158
C[C@H](NC(=O)Nc1ccncc1)c1ccc(-n2ccnc2)cc1,3.15,0.7668,2.5687
O=c1oc2cc(O)cc(O)c2c([O-])c1-c1ccccc1,1.9448,0.6621,2.6669
CC(C)CC1([NH3+])CCC(F)(F)CC1,2.2225,0.6964,4.0383
CC[NH+](CC)CC[C@H](N)c1cnccc1C,0.7046,0.7571,4.2585
CN(Cc1ccccc1F)C(=O)C1=Cc2cc(F)ccc2OC1,3.3992,0.8514,2.3346
O=C(NC1CCOCC1)c1ccc(NCC#Cc2ccc(Cl)cc2)cc1,3.7124,0.786,2.2472
C[C@@H]1CCC[C@H]1[NH2+]CCCn1nc2ccccn2c1=O,0.6381,0.829,4.2028
CCC[C@H]1[C@@H](C)CCCN1CC1=C(C(=O)OCC)CNC(=O)N1,2.017,0.7374,3.6191
CC(C)C[C@@H](C)NS(=O)(=O)c1ccc(Cl)nc1,2.4479,0.8403,2.664
CC(=O)N1N/C(=C2\C(=O)N(C)C(=O)N=C2[O-])C[C@@H]1c1cccc2ccccc12,1.2426,0.762,3.6027
CCN[C@@H](c1cnn(C)c1)C(CC)(CC)[NH+](C)C,0.774,0.7652,4.403
Cc1nn(Cc2ccc(Cl)cc2)c(C)c1CN1CCOC[C@@H]1C1CC1,3.8124,0.7878,2.8661
O=C(COC(=O)c1cc2ccccc2[nH]1)Nc1ccc(N2CCOCC2)cc1,2.8,0.6621,2.0652
COCCOc1ccc(NC(=O)c2ccncc2)cn1,1.7541,0.8177,1.9818
CC(C)n1ncc2c1N=C(O)C[C@H]2c1ccc(-c2ccccc2Cl)o1,5.501,0.655,3.4486
CC[C@H]1c2cccn2CCN1C(=O)c1cn2c3c(cccc3c1=O)CC2,2.9662,0.7086,3.1811
C/[NH+]=C(/NCc1ncc(C)s1)NCC(C)(C)c1cccs1,1.2364,0.5799,3.7954
Cc1cc(Cl)c(S(=O)(=O)NCCS(N)(=O)=O)cc1N,-0.2026,0.6651,2.4581
O=C(CS(=O)(=O)Cc1ccc(F)cc1)NCC(F)(F)F,1.419,0.845,2.1967
CC(C)n1cnnc1[C@H]1CCCN(Cc2noc(C3CCCCC3)n2)C1,3.6693,0.79,3.1916
C[NH+](Cc1ccc(Br)o1)CN1C(=O)c2ccccc2C1=O,1.3105,0.856,3.6586
Cc1nc2ccc(N)cc2nc1C,1.8288,0.6224,2.0417
Cc1cc(NC(=O)[C@H](C)Nc2ccccc2)no1,2.4221,0.8677,2.337
OCC1(C[NH+]2CCC[C@@H]2CC2CCCCC2)COC1,1.013,0.7912,4.7029
Cc1ccc(F)c(O[C@H]2CCC[C@](CO)([NH2+]C(C)C)C2)c1,2.1584,0.8774,4.1118
C#CCOc1ccc(F)cc1NC(=O)N[C@H]1CCCC[C@H]1[S@](=O)CC,3.039,0.7521,3.6862
COc1cccc(C(=O)Nc2cc(C)c(NC(C)=O)c(C)c2)c1OC,3.5313,0.851,1.9703
NC(=O)c1c(NC(=O)c2ccc(C(=O)c3ccccc3)cc2)sc2c1CCCCC2,4.5992,0.448,2.0659
CC(=O)c1ccc(NC(=O)C(=O)N[C@H](C)c2cc(C)oc2C)cc1,2.9149,0.6613,2.5704
COc1cccc([C@@H]2C(C(C)=O)=C([O-])C(=O)N2CCN2CCOCC2)c1,0.1141,0.7363,3.0844
Cc1ccc(S(=O)(=O)/N=C(\[O-])[C@H]2SCCc3ccccc32)c(F)c1,2.6122,0.6182,3.5234
Nc1ccc(F)c(C(=O)NCc2ccccn2)c1F,1.872,0.8359,2.1595
COc1ccc(S(=O)(=O)N(C)C(=O)[C@H]2C[C@@H]2C)cc1,1.4983,0.8478,2.9161
C[C@@H](C1CC1)N(C)C(=O)NCc1ccnc(OC2CCC2)c1,2.9528,0.8706,2.942
O=C(CC[C@H]1CCCO1)NC1(c2ccc(Cl)cc2)CCOCC1,3.4211,0.8769,2.9226
Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)CCCC(=O)N4)CC2)c1C,3.6176,0.7173,2.3096
C[C@H]1Cc2ccccc2N1C(=O)Cc1csc(NC(=O)[C@H]2CCC(=O)N2)n1,1.8805,0.8473,3.2212
NC(=O)CC1CCN(C(=O)CCn2ccc3ccccc32)CC1,2.1454,0.9219,2.1801
COC(=O)[C@@H]1C(=O)C[C@@](C)(O)[C@@H](C(=O)OC)[C@H]1c1ccccc1F,1.2115,0.6661,3.5561
CC(C)(C[NH3+])NC(=O)c1c(F)cc(Br)cc1F,1.4776,0.8815,3.1056
CC1(C)C[C@H](N[C@@H]2COc3ccccc32)c2ccc(F)cc2O1,4.1512,0.8684,3.3012
C[C@H]([NH3+])c1ccn(Cc2ccc([N+](=O)[O-])c(F)c2)c1,1.8866,0.6801,3.5274
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,3.437,0.6995,2.0912
Cc1ccccc1CN1C(=O)c2ccccc2[S@](=O)c2ccc(C(=O)NCc3ccccc3)cc21,5.2521,0.4088,2.8625
COc1cc([C@H]2c3c(oc4ccc(C)cc4c3=O)C(=O)N2c2ccc(C)cn2)cc(OC)c1OC,4.5804,0.4013,2.9673
CCC[NH2+][C@@H]1CC[C@@H]([NH+]2CC[C@H](COC)C2)C1,-0.5679,0.6684,6.2782
COc1ccccc1C[C@@H](C)NCc1cc(C(N)=O)cs1,2.5764,0.8242,2.6836
Cc1cnn(CCCNC(=O)NC2[C@H](C)CCC[C@@H]2C)c1,2.7055,0.8161,3.4579
Nc1ccc2c(c1)CN(C(=O)c1ccc(Cl)cn1)CC2,2.5157,0.8189,2.1675
COc1ccc([C@H](C)[NH2+][C@H](C)C(=O)Nc2cccc(C)c2C)cc1OC,2.9722,0.7928,3.3964
CC[NH+]1CCC[C@@H]1C[NH2+]Cc1ccc(F)c(F)c1,0.0954,0.7654,5.2398
COC(C)(C)C[C@H](C)NC(=O)N[C@H]1c2ccccc2C[C@H]1O,2.1475,0.7831,3.4569
